card_id,set_id,number,name,types,supertype,subtypes,image_url,image_large_url
me4-105,me4,105,Cinccino ex,Colorless,Pokémon,Stage 1 | ex,https://images.scrydex.com/pokemon/me4-105/small,https://images.scrydex.com/pokemon/me4-105/large
me4-107,me4,107,Emma,,Trainer,Supporter,https://images.scrydex.com/pokemon/me4-107/small,https://images.scrydex.com/pokemon/me4-107/large
me4-104,me4,104,Mega Dragalge ex,Dragon,Pokémon,Stage 1 | MEGA | ex,https://images.scrydex.com/pokemon/me4-104/small,https://images.scrydex.com/pokemon/me4-104/large
me4-94,me4,94,Metang,Metal,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-94/small,https://images.scrydex.com/pokemon/me4-94/large
me4-100,me4,100,Mega Greninja ex,Water,Pokémon,Stage 2 | MEGA | ex,https://images.scrydex.com/pokemon/me4-100/small,https://images.scrydex.com/pokemon/me4-100/large
me4-101,me4,101,Mega Floette ex,Psychic,Pokémon,Basic | MEGA | ex,https://images.scrydex.com/pokemon/me4-101/small,https://images.scrydex.com/pokemon/me4-101/large
me4-102,me4,102,Gourgeist ex,Psychic,Pokémon,Stage 1 | ex,https://images.scrydex.com/pokemon/me4-102/small,https://images.scrydex.com/pokemon/me4-102/large
me4-97,me4,97,Watchog,Colorless,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-97/small,https://images.scrydex.com/pokemon/me4-97/large
me4-95,me4,95,Sliggoo,Dragon,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-95/small,https://images.scrydex.com/pokemon/me4-95/large
me4-91,me4,91,Xerneas,Psychic,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-91/small,https://images.scrydex.com/pokemon/me4-91/large
me4-103,me4,103,Cobalion ex,Metal,Pokémon,Basic | ex,https://images.scrydex.com/pokemon/me4-103/small,https://images.scrydex.com/pokemon/me4-103/large
me4-99,me4,99,Mega Pyroar ex,Fire,Pokémon,Stage 1 | MEGA | ex,https://images.scrydex.com/pokemon/me4-99/small,https://images.scrydex.com/pokemon/me4-99/large
me4-98,me4,98,Beedrill ex,Grass,Pokémon,Stage 2 | ex,https://images.scrydex.com/pokemon/me4-98/small,https://images.scrydex.com/pokemon/me4-98/large
me4-93,me4,93,Crobat,Darkness,Pokémon,Stage 2,https://images.scrydex.com/pokemon/me4-93/small,https://images.scrydex.com/pokemon/me4-93/large
me4-92,me4,92,Claydol,Fighting,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-92/small,https://images.scrydex.com/pokemon/me4-92/large
me4-96,me4,96,Tauros,Colorless,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-96/small,https://images.scrydex.com/pokemon/me4-96/large
me4-85,me4,85,Magnetic Metal Energy,,Energy,Special,https://images.scrydex.com/pokemon/me4-85/small,https://images.scrydex.com/pokemon/me4-85/large
me4-88,me4,88,Froakie,Water,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-88/small,https://images.scrydex.com/pokemon/me4-88/large
me4-86,me4,86,Nitro Fire Energy,,Energy,Special,https://images.scrydex.com/pokemon/me4-86/small,https://images.scrydex.com/pokemon/me4-86/large
me4-84,me4,84,Bubbly Water Energy,,Energy,Special,https://images.scrydex.com/pokemon/me4-84/small,https://images.scrydex.com/pokemon/me4-84/large
me4-90,me4,90,Ampharos,Lightning,Pokémon,Stage 2,https://images.scrydex.com/pokemon/me4-90/small,https://images.scrydex.com/pokemon/me4-90/large
me4-87,me4,87,Chespin,Grass,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-87/small,https://images.scrydex.com/pokemon/me4-87/large
me4-89,me4,89,Frogadier,Water,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-89/small,https://images.scrydex.com/pokemon/me4-89/large
me4-83,me4,83,Transformation Tome,,Trainer,Item,https://images.scrydex.com/pokemon/me4-83/small,https://images.scrydex.com/pokemon/me4-83/large
me4-80,me4,80,Prism Tower,,Trainer,Stadium,https://images.scrydex.com/pokemon/me4-80/small,https://images.scrydex.com/pokemon/me4-80/large
me4-79,me4,79,Philippe,,Trainer,Supporter,https://images.scrydex.com/pokemon/me4-79/small,https://images.scrydex.com/pokemon/me4-79/large
me4-76,me4,76,AZ's Tranquility,,Trainer,Supporter,https://images.scrydex.com/pokemon/me4-76/small,https://images.scrydex.com/pokemon/me4-76/large
me4-78,me4,78,Great Haul Net,,Trainer,Item,https://images.scrydex.com/pokemon/me4-78/small,https://images.scrydex.com/pokemon/me4-78/large
me4-77,me4,77,Emma,,Trainer,Supporter,https://images.scrydex.com/pokemon/me4-77/small,https://images.scrydex.com/pokemon/me4-77/large
me4-75,me4,75,Ange Floette,,Trainer,Stadium,https://images.scrydex.com/pokemon/me4-75/small,https://images.scrydex.com/pokemon/me4-75/large
me4-81,me4,81,Roxie's Performance,,Trainer,Supporter,https://images.scrydex.com/pokemon/me4-81/small,https://images.scrydex.com/pokemon/me4-81/large
me4-73,me4,73,Cinccino ex,Colorless,Pokémon,Stage 1 | ex,https://images.scrydex.com/pokemon/me4-73/small,https://images.scrydex.com/pokemon/me4-73/large
me4-82,me4,82,Special Red Card,,Trainer,Item,https://images.scrydex.com/pokemon/me4-82/small,https://images.scrydex.com/pokemon/me4-82/large
me4-74,me4,74,Adversity Policy,,Trainer,Pokémon Tool,https://images.scrydex.com/pokemon/me4-74/small,https://images.scrydex.com/pokemon/me4-74/large
me4-72,me4,72,Minccino,Colorless,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-72/small,https://images.scrydex.com/pokemon/me4-72/large
me4-71,me4,71,Watchog,Colorless,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-71/small,https://images.scrydex.com/pokemon/me4-71/large
me4-70,me4,70,Patrat,Colorless,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-70/small,https://images.scrydex.com/pokemon/me4-70/large
me4-67,me4,67,Sliggoo,Dragon,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-67/small,https://images.scrydex.com/pokemon/me4-67/large
me4-65,me4,65,Mega Dragalge ex,Dragon,Pokémon,Stage 1 | MEGA | ex,https://images.scrydex.com/pokemon/me4-65/small,https://images.scrydex.com/pokemon/me4-65/large
me4-61,me4,61,Metagross,Metal,Pokémon,Stage 2,https://images.scrydex.com/pokemon/me4-61/small,https://images.scrydex.com/pokemon/me4-61/large
me4-62,me4,62,Ferroseed,Metal,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-62/small,https://images.scrydex.com/pokemon/me4-62/large
me4-59,me4,59,Beldum,Metal,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-59/small,https://images.scrydex.com/pokemon/me4-59/large
me4-58,me4,58,Skrelp,Darkness,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-58/small,https://images.scrydex.com/pokemon/me4-58/large
me4-64,me4,64,Cobalion ex,Metal,Pokémon,Basic | ex,https://images.scrydex.com/pokemon/me4-64/small,https://images.scrydex.com/pokemon/me4-64/large
me4-60,me4,60,Metang,Metal,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-60/small,https://images.scrydex.com/pokemon/me4-60/large
me4-69,me4,69,Tauros,Colorless,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-69/small,https://images.scrydex.com/pokemon/me4-69/large
me4-66,me4,66,Goomy,Dragon,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-66/small,https://images.scrydex.com/pokemon/me4-66/large
me4-68,me4,68,Goodra,Dragon,Pokémon,Stage 2,https://images.scrydex.com/pokemon/me4-68/small,https://images.scrydex.com/pokemon/me4-68/large
me4-63,me4,63,Ferrothorn,Metal,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-63/small,https://images.scrydex.com/pokemon/me4-63/large
me4-48,me4,48,Mega Gallade ex,Fighting,Pokémon,Stage 2 | MEGA | ex,https://images.scrydex.com/pokemon/me4-48/small,https://images.scrydex.com/pokemon/me4-48/large
me4-56,me4,56,Trubbish,Darkness,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-56/small,https://images.scrydex.com/pokemon/me4-56/large
me4-55,me4,55,Krookodile ex,Darkness,Pokémon,Stage 2 | ex,https://images.scrydex.com/pokemon/me4-55/small,https://images.scrydex.com/pokemon/me4-55/large
me4-50,me4,50,Golbat,Darkness,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-50/small,https://images.scrydex.com/pokemon/me4-50/large
me4-57,me4,57,Garbodor,Darkness,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-57/small,https://images.scrydex.com/pokemon/me4-57/large
me4-51,me4,51,Crobat,Darkness,Pokémon,Stage 2,https://images.scrydex.com/pokemon/me4-51/small,https://images.scrydex.com/pokemon/me4-51/large
me4-49,me4,49,Zubat,Darkness,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-49/small,https://images.scrydex.com/pokemon/me4-49/large
me4-52,me4,52,Qwilfish,Darkness,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-52/small,https://images.scrydex.com/pokemon/me4-52/large
me4-46,me4,46,Baltoy,Fighting,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-46/small,https://images.scrydex.com/pokemon/me4-46/large
me4-53,me4,53,Stunky,Darkness,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-53/small,https://images.scrydex.com/pokemon/me4-53/large
me4-47,me4,47,Claydol,Fighting,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-47/small,https://images.scrydex.com/pokemon/me4-47/large
me4-54,me4,54,Skuntank,Darkness,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-54/small,https://images.scrydex.com/pokemon/me4-54/large
me4-42,me4,42,Xerneas,Psychic,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-42/small,https://images.scrydex.com/pokemon/me4-42/large
me4-40,me4,40,Pumpkaboo,Psychic,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-40/small,https://images.scrydex.com/pokemon/me4-40/large
me4-45,me4,45,Donphan,Fighting,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-45/small,https://images.scrydex.com/pokemon/me4-45/large
me4-43,me4,43,Sudowoodo,Fighting,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-43/small,https://images.scrydex.com/pokemon/me4-43/large
me4-41,me4,41,Gourgeist ex,Psychic,Pokémon,Stage 1 | ex,https://images.scrydex.com/pokemon/me4-41/small,https://images.scrydex.com/pokemon/me4-41/large
me4-44,me4,44,Phanpy,Fighting,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-44/small,https://images.scrydex.com/pokemon/me4-44/large
me4-39,me4,39,Trevenant,Psychic,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-39/small,https://images.scrydex.com/pokemon/me4-39/large
me4-32,me4,32,Deoxys,Psychic,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-32/small,https://images.scrydex.com/pokemon/me4-32/large
me4-28,me4,28,Flaaffy,Lightning,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-28/small,https://images.scrydex.com/pokemon/me4-28/large
me4-35,me4,35,Mega Floette ex,Psychic,Pokémon,Basic | MEGA | ex,https://images.scrydex.com/pokemon/me4-35/small,https://images.scrydex.com/pokemon/me4-35/large
me4-34,me4,34,Deoxys,Psychic,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-34/small,https://images.scrydex.com/pokemon/me4-34/large
me4-31,me4,31,Deoxys,Psychic,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-31/small,https://images.scrydex.com/pokemon/me4-31/large
me4-38,me4,38,Phantump,Psychic,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-38/small,https://images.scrydex.com/pokemon/me4-38/large
me4-36,me4,36,Espurr,Psychic,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-36/small,https://images.scrydex.com/pokemon/me4-36/large
me4-37,me4,37,Meowstic,Psychic,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-37/small,https://images.scrydex.com/pokemon/me4-37/large
me4-30,me4,30,Emolga,Lightning,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-30/small,https://images.scrydex.com/pokemon/me4-30/large
me4-33,me4,33,Deoxys,Psychic,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-33/small,https://images.scrydex.com/pokemon/me4-33/large
me4-29,me4,29,Ampharos,Lightning,Pokémon,Stage 2,https://images.scrydex.com/pokemon/me4-29/small,https://images.scrydex.com/pokemon/me4-29/large
me4-25,me4,25,Wimpod,Water,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-25/small,https://images.scrydex.com/pokemon/me4-25/large
me4-17,me4,17,Octillery,Water,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-17/small,https://images.scrydex.com/pokemon/me4-17/large
me4-24,me4,24,Avalugg,Water,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-24/small,https://images.scrydex.com/pokemon/me4-24/large
me4-22,me4,22,Mega Greninja ex,Water,Pokémon,Stage 2 | MEGA | ex,https://images.scrydex.com/pokemon/me4-22/small,https://images.scrydex.com/pokemon/me4-22/large
me4-23,me4,23,Bergmite,Water,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-23/small,https://images.scrydex.com/pokemon/me4-23/large
me4-19,me4,19,Keldeo,Water,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-19/small,https://images.scrydex.com/pokemon/me4-19/large
me4-18,me4,18,Delibird,Water,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-18/small,https://images.scrydex.com/pokemon/me4-18/large
me4-20,me4,20,Froakie,Water,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-20/small,https://images.scrydex.com/pokemon/me4-20/large
me4-27,me4,27,Mareep,Lightning,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-27/small,https://images.scrydex.com/pokemon/me4-27/large
me4-21,me4,21,Frogadier,Water,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-21/small,https://images.scrydex.com/pokemon/me4-21/large
me4-26,me4,26,Golisopod,Water,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-26/small,https://images.scrydex.com/pokemon/me4-26/large
me4-16,me4,16,Remoraid,Water,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-16/small,https://images.scrydex.com/pokemon/me4-16/large
me4-15,me4,15,Mega Pyroar ex,Fire,Pokémon,Stage 1 | MEGA | ex,https://images.scrydex.com/pokemon/me4-15/small,https://images.scrydex.com/pokemon/me4-15/large
me4-10,me4,10,Ho-Oh,Fire,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-10/small,https://images.scrydex.com/pokemon/me4-10/large
me4-7,me4,7,Chesnaught,Grass,Pokémon,Stage 2,https://images.scrydex.com/pokemon/me4-7/small,https://images.scrydex.com/pokemon/me4-7/large
me4-4,me4,4,Carnivine,Grass,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-4/small,https://images.scrydex.com/pokemon/me4-4/large
me4-5,me4,5,Chespin,Grass,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-5/small,https://images.scrydex.com/pokemon/me4-5/large
me4-13,me4,13,Delphox,Fire,Pokémon,Stage 2,https://images.scrydex.com/pokemon/me4-13/small,https://images.scrydex.com/pokemon/me4-13/large
me4-11,me4,11,Fennekin,Fire,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-11/small,https://images.scrydex.com/pokemon/me4-11/large
me4-9,me4,9,Ninetales,Fire,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-9/small,https://images.scrydex.com/pokemon/me4-9/large
me4-8,me4,8,Vulpix,Fire,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-8/small,https://images.scrydex.com/pokemon/me4-8/large
me4-6,me4,6,Quilladin,Grass,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-6/small,https://images.scrydex.com/pokemon/me4-6/large
me4-14,me4,14,Litleo,Fire,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-14/small,https://images.scrydex.com/pokemon/me4-14/large
me4-12,me4,12,Braixen,Fire,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-12/small,https://images.scrydex.com/pokemon/me4-12/large
me4-1,me4,1,Weedle,Grass,Pokémon,Basic,https://images.scrydex.com/pokemon/me4-1/small,https://images.scrydex.com/pokemon/me4-1/large
me4-3,me4,3,Beedrill ex,Grass,Pokémon,Stage 2 | ex,https://images.scrydex.com/pokemon/me4-3/small,https://images.scrydex.com/pokemon/me4-3/large
me4-2,me4,2,Kakuna,Grass,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me4-2/small,https://images.scrydex.com/pokemon/me4-2/large
me3-124,me3,124,Mega Zygarde ex,Fighting,Pokémon,Basic | MEGA | ex,https://images.scrydex.com/pokemon/me3-124/small,https://images.scrydex.com/pokemon/me3-124/large
me3-123,me3,123,Rosa's Encouragement,,Trainer,Supporter,https://images.scrydex.com/pokemon/me3-123/small,https://images.scrydex.com/pokemon/me3-123/large
me3-122,me3,122,Jacinthe,,Trainer,Supporter,https://images.scrydex.com/pokemon/me3-122/small,https://images.scrydex.com/pokemon/me3-122/large
me3-121,me3,121,Meowth ex,Colorless,Pokémon,Basic | ex,https://images.scrydex.com/pokemon/me3-121/small,https://images.scrydex.com/pokemon/me3-121/large
me3-120,me3,120,Mega Zygarde ex,Fighting,Pokémon,Basic | MEGA | ex,https://images.scrydex.com/pokemon/me3-120/small,https://images.scrydex.com/pokemon/me3-120/large
me3-119,me3,119,Mega Clefable ex,Psychic,Pokémon,Stage 1 | MEGA | ex,https://images.scrydex.com/pokemon/me3-119/small,https://images.scrydex.com/pokemon/me3-119/large
me3-118,me3,118,Mega Starmie ex,Water,Pokémon,Stage 1 | MEGA | ex,https://images.scrydex.com/pokemon/me3-118/small,https://images.scrydex.com/pokemon/me3-118/large
me3-117,me3,117,Wondrous Patch,,Trainer,Item,https://images.scrydex.com/pokemon/me3-117/small,https://images.scrydex.com/pokemon/me3-117/large
me3-116,me3,116,Tarragon,,Trainer,Supporter,https://images.scrydex.com/pokemon/me3-116/small,https://images.scrydex.com/pokemon/me3-116/large
me3-115,me3,115,Sacred Ash,,Trainer,Item,https://images.scrydex.com/pokemon/me3-115/small,https://images.scrydex.com/pokemon/me3-115/large
me3-114,me3,114,Rosa's Encouragement,,Trainer,Supporter,https://images.scrydex.com/pokemon/me3-114/small,https://images.scrydex.com/pokemon/me3-114/large
me3-113,me3,113,Poké Pad,,Trainer,Item,https://images.scrydex.com/pokemon/me3-113/small,https://images.scrydex.com/pokemon/me3-113/large
me3-112,me3,112,Naveen,,Trainer,Supporter,https://images.scrydex.com/pokemon/me3-112/small,https://images.scrydex.com/pokemon/me3-112/large
me3-111,me3,111,Lumiose City,,Trainer,Stadium,https://images.scrydex.com/pokemon/me3-111/small,https://images.scrydex.com/pokemon/me3-111/large
me3-110,me3,110,Jacinthe,,Trainer,Supporter,https://images.scrydex.com/pokemon/me3-110/small,https://images.scrydex.com/pokemon/me3-110/large
me3-109,me3,109,Forest of Vitality,,Trainer,Stadium,https://images.scrydex.com/pokemon/me3-109/small,https://images.scrydex.com/pokemon/me3-109/large
me3-108,me3,108,Energy Recycler,,Trainer,Item,https://images.scrydex.com/pokemon/me3-108/small,https://images.scrydex.com/pokemon/me3-108/large
me3-107,me3,107,Meowth ex,Colorless,Pokémon,Basic | ex,https://images.scrydex.com/pokemon/me3-107/small,https://images.scrydex.com/pokemon/me3-107/large
me3-106,me3,106,Mega Skarmory ex,Metal,Pokémon,Basic | MEGA | ex,https://images.scrydex.com/pokemon/me3-106/small,https://images.scrydex.com/pokemon/me3-106/large
me3-105,me3,105,Yveltal ex,Darkness,Pokémon,Basic | ex,https://images.scrydex.com/pokemon/me3-105/small,https://images.scrydex.com/pokemon/me3-105/large
me3-104,me3,104,Mega Zygarde ex,Fighting,Pokémon,Basic | MEGA | ex,https://images.scrydex.com/pokemon/me3-104/small,https://images.scrydex.com/pokemon/me3-104/large
me3-103,me3,103,Mega Clefable ex,Psychic,Pokémon,Stage 1 | MEGA | ex,https://images.scrydex.com/pokemon/me3-103/small,https://images.scrydex.com/pokemon/me3-103/large
me3-102,me3,102,Mega Starmie ex,Water,Pokémon,Stage 1 | MEGA | ex,https://images.scrydex.com/pokemon/me3-102/small,https://images.scrydex.com/pokemon/me3-102/large
me3-101,me3,101,Salazzle ex,Fire,Pokémon,Stage 1 | ex,https://images.scrydex.com/pokemon/me3-101/small,https://images.scrydex.com/pokemon/me3-101/large
me3-100,me3,100,Decidueye ex,Grass,Pokémon,Stage 2 | ex,https://images.scrydex.com/pokemon/me3-100/small,https://images.scrydex.com/pokemon/me3-100/large
me3-99,me3,99,Raticate,Colorless,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me3-99/small,https://images.scrydex.com/pokemon/me3-99/large
me3-98,me3,98,Doublade,Metal,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me3-98/small,https://images.scrydex.com/pokemon/me3-98/large
me3-97,me3,97,Drapion,Darkness,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me3-97/small,https://images.scrydex.com/pokemon/me3-97/large
me3-96,me3,96,Probopass,Fighting,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me3-96/small,https://images.scrydex.com/pokemon/me3-96/large
me3-95,me3,95,Espurr,Psychic,Pokémon,Basic,https://images.scrydex.com/pokemon/me3-95/small,https://images.scrydex.com/pokemon/me3-95/large
me3-94,me3,94,Clefairy,Psychic,Pokémon,Basic,https://images.scrydex.com/pokemon/me3-94/small,https://images.scrydex.com/pokemon/me3-94/large
me3-93,me3,93,Dedenne,Lightning,Pokémon,Basic,https://images.scrydex.com/pokemon/me3-93/small,https://images.scrydex.com/pokemon/me3-93/large
me3-92,me3,92,Aurorus,Water,Pokémon,Stage 2,https://images.scrydex.com/pokemon/me3-92/small,https://images.scrydex.com/pokemon/me3-92/large
me3-91,me3,91,Talonflame,Fire,Pokémon,Stage 2,https://images.scrydex.com/pokemon/me3-91/small,https://images.scrydex.com/pokemon/me3-91/large
me3-90,me3,90,Rowlet,Grass,Pokémon,Basic,https://images.scrydex.com/pokemon/me3-90/small,https://images.scrydex.com/pokemon/me3-90/large
me3-89,me3,89,Spewpa,Grass,Pokémon,Stage 1,https://images.scrydex.com/pokemon/me3-89/small,https://images.scrydex.com/pokemon/me3-89/large
me3-88,me3,88,Telepathic Psychic Energy,,Energy,Special,https://images.scrydex.com/pokemon/me3-88/small,https://images.scrydex.com/pokemon/me3-88/large
me3-87,me3,87,Rocky Fighting Energy,,Energy,Special,https://images.scrydex.com/pokemon/me3-87/small,https://images.scrydex.com/pokemon/me3-87/large
me3-86,me3,86,Growing Grass Energy,,Energy,Special,https://images.scrydex.com/pokemon/me3-86/small,https://images.scrydex.com/pokemon/me3-86/large
me3-85,me3,85,Tarragon,,Trainer,Supporter,https://images.scrydex.com/pokemon/me3-85/small,https://images.scrydex.com/pokemon/me3-85/large
me3-84,me3,84,Rosa's Encouragement,,Trainer,Supporter,https://images.scrydex.com/pokemon/me3-84/small,https://images.scrydex.com/pokemon/me3-84/large
me3-83,me3,83,Potion,,Trainer,Item,https://images.scrydex.com/pokemon/me3-83/small,https://images.scrydex.com/pokemon/me3-83/large
me3-82,me3,82,Pokémon Catcher,,Trainer,Item,https://images.scrydex.com/pokemon/me3-82/small,https://images.scrydex.com/pokemon/me3-82/large
me3-81,me3,81,Poké Pad,,Trainer,Item,https://images.scrydex.com/pokemon/me3-81/small,https://images.scrydex.com/pokemon/me3-81/large
me3-80,me3,80,Poké Ball,,Trainer,Item,https://images.scrydex.com/pokemon/me3-80/small,https://images.scrydex.com/pokemon/me3-80/large
me3-78,me3,78,Lumiose Galette,,Trainer,Item,https://images.scrydex.com/pokemon/me3-78/small,https://images.scrydex.com/pokemon/me3-78/large
me3-79,me3,79,Naveen,,Trainer,Supporter,https://images.scrydex.com/pokemon/me3-79/small,https://images.scrydex.com/pokemon/me3-79/large
me3-77,me3,77,Lumiose City,,Trainer,Stadium,https://images.scrydex.com/pokemon/me3-77/small,https://images.scrydex.com/pokemon/me3-77/large
me3-76,me3,76,Judge,,Trainer,Supporter,https://images.scrydex.com/pokemon/me3-76/small,https://images.scrydex.com/pokemon/me3-76/large
me3-75,me3,75,Jacinthe,,Trainer,Supporter,https://images.scrydex.com/pokemon/me3-75/small,https://images.scrydex.com/pokemon/me3-75/large
me3-74,me3,74,Hole-Digging Shovel,,Trainer,Item,https://images.scrydex.com/pokemon/me3-74/small,https://images.scrydex.com/pokemon/me3-74/large
me3-73,me3,73,Energy Swatter,,Trainer,Item,https://images.scrydex.com/pokemon/me3-73/small,https://images.scrydex.com/pokemon/me3-73/large
me3-72,me3,72,Energy Search,,Trainer,Item,https://images.scrydex.com/pokemon/me3-72/small,https://images.scrydex.com/pokemon/me3-72/large
me3-71,me3,71,Crushing Hammer,,Trainer,Item,https://images.scrydex.com/pokemon/me3-71/small,https://images.scrydex.com/pokemon/me3-71/large
me3-70,me3,70,Core Memory,,Trainer,Pokémon Tool,https://images.scrydex.com/pokemon/me3-70/small,https://images.scrydex.com/pokemon/me3-70/large
